tx_id,user_id,timestamp,amount,merchant_type,country,device,hour,is_international,label_fraud
T0000000,25795,2025-11-07 02:37:00.882157,70.34,travel,IN,mobile,19,0,1
T0000001,10860,2025-10-15 14:42:00.882157,46.14,online_sub,AE,web,2,1,0
T0000002,48158,2025-11-03 04:24:00.882157,52.22,electronics,IN,atm,7,0,0
T0000003,21284,2025-11-07 21:38:00.882157,6.07,fuel,IN,web,7,0,0
T0000004,16265,2025-11-05 21:59:00.882157,4.06,online_sub,US,pos,23,1,0
T0000005,26850,2025-10-28 16:00:00.882157,93.85,travel,US,mobile,14,1,0
T0000006,47194,2025-11-03 04:01:00.882157,3.39,atm_withdrawal,GB,mobile,4,1,0
T0000007,31962,2025-11-11 02:34:00.882157,23.21,online_sub,US,web,12,1,0
T0000008,26023,2025-11-05 10:42:00.882157,18.43,atm_withdrawal,IN,mobile,14,0,0
T0000009,11685,2025-11-09 17:16:00.882157,16.72,fuel,IN,atm,6,0,0
T0000010,10769,2025-10-13 17:10:00.882157,37.72,grocery,US,web,11,1,0
T0000011,12433,2025-10-30 19:07:00.882157,13.31,atm_withdrawal,IN,mobile,2,0,0
T0000012,15311,2025-10-28 17:56:00.882157,41.08,atm_withdrawal,IN,pos,7,0,0
T0000013,47819,2025-11-04 17:57:00.882157,31.44,luxury,IN,mobile,9,0,0
T0000014,49188,2025-11-02 21:25:00.882157,245.59,luxury,IN,mobile,1,0,0
T0000015,27568,2025-10-25 01:52:00.882157,6.33,restaurants,DE,web,7,1,0
T0000016,29769,2025-11-02 21:16:00.882157,27.96,luxury,IN,web,21,0,0
T0000017,38693,2025-10-27 21:54:00.882157,42.65,grocery,IN,atm,17,0,0
T0000018,16396,2025-11-10 18:28:00.882157,20.71,fuel,AE,mobile,11,1,0
T0000019,37480,2025-10-21 05:21:00.882157,6.66,restaurants,IN,web,21,0,0
T0000020,35658,2025-11-06 03:24:00.882157,101.49,electronics,JP,mobile,17,1,0
T0000021,28942,2025-11-05 11:11:00.882157,38.62,atm_withdrawal,IN,mobile,18,0,0
T0000022,28431,2025-10-31 02:23:00.882157,7.17,online_sub,JP,web,4,1,0
T0000023,12747,2025-10-22 03:03:00.882157,42.97,fuel,IN,mobile,15,0,0
T0000024,10189,2025-11-03 15:26:00.882157,161.85,grocery,IN,web,16,0,0
T0000025,29118,2025-10-16 14:23:00.882157,26.1,atm_withdrawal,IN,web,8,0,0
T0000026,45773,2025-10-18 15:53:00.882157,27.05,restaurants,IN,mobile,9,0,0
T0000027,11899,2025-10-20 19:56:00.882157,140.67,travel,SG,web,18,1,0
T0000028,11267,2025-11-01 21:49:00.882157,9.79,luxury,IN,mobile,11,0,0
T0000029,41551,2025-10-19 07:41:00.882157,166.32,luxury,US,pos,0,1,1
T0000030,21394,2025-10-29 00:30:00.882157,75.31,fuel,IN,mobile,21,0,1
T0000031,13556,2025-10-26 02:53:00.882157,10.27,atm_withdrawal,SG,mobile,16,1,1
T0000032,13890,2025-11-05 23:47:00.882157,13.44,luxury,AE,web,2,1,0
T0000033,40740,2025-10-14 16:40:00.882157,15.63,luxury,IN,atm,6,0,0
T0000034,24502,2025-10-16 02:51:00.882157,3.95,atm_withdrawal,IN,pos,19,0,0
