review_id,date,product,department,rating,review_text,sentiment
R0000000,2025-10-18 03:59:00.882157,Mortgage,Loans,3,could be better,neutral
R0000001,2025-06-18 03:59:00.882157,Mobile App,Branch,5,excellent service,positive
R0000002,2025-07-24 03:59:00.882157,NetBanking,Cards,4,easy to use,positive
R0000003,2025-09-11 03:59:00.882157,Insurance,App,5,transparent charges,positive
R0000004,2025-07-25 03:59:00.882157,Insurance,Cards,5,transparent charges,positive
R0000005,2025-06-04 03:59:00.882157,Credit Card,Loans,4,good service,positive
R0000006,2025-05-30 03:59:00.882157,Savings,Cards,4,good service,positive
R0000007,2025-09-19 03:59:00.882157,Savings,App,2,slow response,negative
R0000008,2025-07-21 03:59:00.882157,Insurance,Cards,2,bugs in app,negative
R0000009,2025-06-10 03:59:00.882157,Credit Card,Loans,4,quick approval,positive
R0000010,2025-08-09 03:59:00.882157,NetBanking,Loans,5,excellent service,positive
R0000011,2025-10-10 03:59:00.882157,NetBanking,App,1,hidden fees,negative
R0000012,2025-08-14 03:59:00.882157,Credit Card,Contact Center,3,works fine,neutral
R0000013,2025-09-23 03:59:00.882157,Mortgage,Cards,4,nice experience,positive
R0000014,2025-06-21 03:59:00.882157,Mortgage,Loans,3,average experience,neutral
R0000015,2025-09-22 03:59:00.882157,Insurance,Cards,2,slow response,negative
R0000016,2025-06-11 03:59:00.882157,NetBanking,App,3,average experience,neutral
R0000017,2025-09-23 03:59:00.882157,Mortgage,Branch,2,poor support,negative
R0000018,2025-10-12 03:59:00.882157,Credit Card,Branch,4,good service,positive
R0000019,2025-08-09 03:59:00.882157,Mobile App,Loans,2,slow response,negative
R0000020,2025-06-02 03:59:00.882157,Savings,App,5,love the app,positive
R0000021,2025-09-05 03:59:00.882157,Insurance,App,5,excellent service,positive
R0000022,2025-11-04 03:59:00.882157,NetBanking,Cards,5,transparent charges,positive
R0000023,2025-09-03 03:59:00.882157,Mortgage,Loans,3,okay service,neutral
R0000024,2025-08-24 03:59:00.882157,Mortgage,Branch,3,average experience,neutral
R0000025,2025-06-21 03:59:00.882157,Credit Card,App,1,hidden fees,negative
R0000026,2025-09-24 03:59:00.882157,Mortgage,App,3,neutral,neutral
R0000027,2025-07-27 03:59:00.882157,Savings,Branch,1,issue unresolved,negative
R0000028,2025-08-26 03:59:00.882157,Insurance,Cards,4,helpful staff,positive
R0000029,2025-07-01 03:59:00.882157,Mortgage,Cards,4,easy to use,positive
R0000030,2025-09-12 03:59:00.882157,Mobile App,Cards,4,good service,positive
R0000031,2025-08-22 03:59:00.882157,Mobile App,Cards,4,nice experience,positive
R0000032,2025-09-29 03:59:00.882157,NetBanking,Loans,3,neutral,neutral
R0000033,2025-06-04 03:59:00.882157,NetBanking,Cards,5,transparent charges,positive
R0000034,2025-06-05 03:59:00.882157,Insurance,Cards,5,super fast,positive
R0000035,2025-10-17 03:59:00.882157,Mobile App,Loans,2,fees too high,negative
R0000036,2025-08-09 03:59:00.882157,Mobile App,App,4,nice experience,positive
R0000037,2025-11-09 03:59:00.882157,NetBanking,Contact Center,5,excellent service,positive
R0000038,2025-08-04 03:59:00.882157,Mortgage,Cards,1,terrible service,negative
R0000039,2025-07-13 03:59:00.882157,Mobile App,Contact Center,4,quick approval,positive
R0000040,2025-08-10 03:59:00.882157,Mortgage,Branch,1,terrible service,negative
R0000041,2025-10-08 03:59:00.882157,Savings,Contact Center,3,okay service,neutral
R0000042,2025-10-17 03:59:00.882157,Credit Card,Branch,4,quick approval,positive
