tx_id,timestamp,amount,region,wallet_type
C0000000,2025-09-27 03:59:00.882157,821.42,North,govt
C0000001,2025-09-27 04:05:00.882157,4111.2,East,p2p
C0000002,2025-09-27 04:12:00.882157,1710.58,Central,merchant
C0000003,2025-09-27 04:18:00.882157,4662.41,West,retail
C0000004,2025-09-27 04:25:00.882157,1692.28,East,retail
C0000005,2025-09-27 04:31:00.882157,1849.42,South,retail
C0000006,2025-09-27 04:38:00.882157,702.13,West,retail
C0000007,2025-09-27 04:44:00.882157,523.34,South,retail
C0000008,2025-09-27 04:51:00.882157,1542.3,South,retail
C0000009,2025-09-27 04:57:00.882157,6869.18,West,retail
C0000010,2025-09-27 05:04:00.882157,2487.96,West,retail
C0000011,2025-09-27 05:10:00.882157,2189.25,East,govt
C0000012,2025-09-27 05:17:00.882157,2314.93,Central,merchant
C0000013,2025-09-27 05:23:00.882157,1504.15,East,retail
C0000014,2025-09-27 05:30:00.882157,3539.94,West,merchant
C0000015,2025-09-27 05:36:00.882157,1724.56,North,merchant
C0000016,2025-09-27 05:43:00.882157,1743.41,East,retail
C0000017,2025-09-27 05:49:00.882157,2707.65,West,merchant
C0000018,2025-09-27 05:56:00.882157,4940.11,North,govt
C0000019,2025-09-27 06:02:00.882157,2120.24,West,retail
C0000020,2025-09-27 06:09:00.882157,1286.57,South,merchant
C0000021,2025-09-27 06:15:00.882157,4075.52,West,p2p
C0000022,2025-09-27 06:22:00.882157,4884.84,East,retail
C0000023,2025-09-27 06:28:00.882157,2999.82,South,retail
C0000024,2025-09-27 06:35:00.882157,1174.56,North,merchant
C0000025,2025-09-27 06:41:00.882157,1219.21,South,retail
C0000026,2025-09-27 06:48:00.882157,661.69,North,merchant
C0000027,2025-09-27 06:54:00.882157,2618.98,West,retail
C0000028,2025-09-27 07:01:00.882157,823.74,North,merchant
C0000029,2025-09-27 07:07:00.882157,2664.17,North,retail
C0000030,2025-09-27 07:14:00.882157,1338.03,North,retail
C0000031,2025-09-27 07:20:00.882157,1102.63,South,retail
C0000032,2025-09-27 07:27:00.882157,2555.95,South,merchant
C0000033,2025-09-27 07:33:00.882157,6817.39,South,merchant
C0000034,2025-09-27 07:40:00.882157,4042.55,North,retail
C0000035,2025-09-27 07:46:00.882157,1130.13,West,merchant
C0000036,2025-09-27 07:53:00.882157,2949.15,South,p2p
C0000037,2025-09-27 07:59:00.882157,3206.88,South,merchant
C0000038,2025-09-27 08:06:00.882157,482.79,South,p2p
C0000039,2025-09-27 08:12:00.882157,725.95,West,retail
C0000040,2025-09-27 08:19:00.882157,1122.81,West,retail
C0000041,2025-09-27 08:25:00.882157,3869.36,East,retail
C0000042,2025-09-27 08:32:00.882157,3759.79,North,retail
C0000043,2025-09-27 08:38:00.882157,4268.37,Central,merchant
C0000044,2025-09-27 08:45:00.882157,1579.78,West,merchant
C0000045,2025-09-27 08:51:00.882157,2640.85,Central,retail
C0000046,2025-09-27 08:58:00.882157,3164.28,South,retail
C0000047,2025-09-27 09:04:00.882157,465.69,South,retail
C0000048,2025-09-27 09:11:00.882157,2115.31,North,p2p
C0000049,2025-09-27 09:17:00.882157,706.13,North,retail
C0000050,2025-09-27 09:24:00.882157,2412.83,North,govt
C0000051,2025-09-27 09:30:00.882157,1158.09,West,retail
C0000052,2025-09-27 09:37:00.882157,3393.34,West,merchant
C0000053,2025-09-27 09:43:00.882157,2664.73,North,retail
C0000054,2025-09-27 09:50:00.882157,2201.45,North,p2p
C0000055,2025-09-27 09:56:00.882157,663.53,West,merchant
